TimeStamp	Buffer Clear Response	Serial Number	Valid Serial# ?
12/08/15_06:35 PM	Simulation	158-3663-001;150423mot0008	True
12/08/15_06:35 PM	Simulation	158-3663-001;150423mot0008	True
12/08/15_06:36 PM	Simulation	158-3663-001;150423mot0005	True
12/08/15_06:38 PM	Simulation	158-3663-001;150423mot0006	True
12/08/15_06:38 PM	Simulation	158-3663-001;150423mot0011	True
12/08/15_06:39 PM	Simulation	158-3663-001;150423mot0004	True
12/08/15_06:42 PM	Simulation	158-3663-001;150423mot0010	True
12/08/15_06:43 PM	Simulation	158-3663-001;150423mot0003	True
12/08/15_06:43 PM	Simulation	158-3663-001;150423mot0010	True
12/08/15_06:45 PM	Simulation	158-3663-001;150423mot0011	True
12/08/15_06:46 PM	Simulation	158-3663-001;150423mot0008	True
12/08/15_06:46 PM	Simulation	158-3663-001;150423mot0005	True
12/08/15_06:48 PM	Simulation	158-3663-001;150423mot0010	True
12/08/15_06:49 PM	Simulation	158-3663-001;150423mot0004	True
12/08/15_06:49 PM	Simulation	158-3663-001;150423mot0004	True
12/08/15_06:51 PM	Simulation	158-3663-001;150423mot0011	True
12/08/15_06:51 PM	Simulation	158-3663-001;150423mot0003	True
