Serial No.,ALL_Test_Type,Adapter Plate Size,Displacement Size,Flange Size,Height,Load_Decision,Cart_Insert
,,,,,,,
141008moh0277,1,0,0,3,522,0,0
,,,,,,,
140815mot0157,2,0,0,3,589,0,0
,,,,,,,
141201mos0131,2,0,1,3,608,0,0
,,,,,,,
150114mot0335,2,0,0,3,715,0,0
,,,,,,,
141008moh0281,1,0,0,3,780,0,0
,,,,,,,
140815MOT0140,2,0,0,3,521,0,0
,,,,,,,
140815MOT0141,2,0,0,3,521,0,0
,,,,,,,
140815MOT0142,2,0,0,3,521,0,0
,,,,,,,
140815MOT0143,2,0,0,3,530,0,0
,,,,,,,
140815MOT0144,2,0,0,3,530,0,0
,,,,,,,
140815MOT0145,2,0,0,3,530,0,0
,,,,,,,
140815MOT0146,2,0,0,3,542,0,0
,,,,,,,
140815MOT0147,2,0,0,3,542,0,0
,,,,,,,
140815MOT0148,2,0,0,3,542,0,0
,,,,,,,
140815MOT0149,2,0,0,3,553,0,0
,,,,,,,
140815MOT0150,2,0,0,3,553,0,0
,,,,,,,
140815MOT0151,2,0,0,3,553,0,0
,,,,,,,
140815MOT0152,2,0,0,3,568,0,0
,,,,,,,
140815MOT0153,2,0,0,3,568,0,0
,,,,,,,
140815MOT0154,2,0,0,3,568,0,0
,,,,,,,
140815MOT0155,2,0,0,3,589,0,0
,,,,,,,
140815MOT0156,2,0,0,3,589,0,0
,,,,,,,
140815MOT0157,2,0,0,3,589,0,0
,,,,,,,
140815MOT0158,2,0,0,3,608,0,0
,,,,,,,
140815MOT0159,2,0,0,3,608,0,0
,,,,,,,
140815MOT0160,2,0,0,3,608,0,0
,,,,,,,
140905MOT0151,2,0,0,3,635,0,0
,,,,,,,
140905MOT0152,2,0,0,3,635,0,0
,,,,,,,
140905MOT0153,2,0,0,3,635,0,0
,,,,,,,
141008MOT0018,2,0,0,3,670,0,0
,,,,,,,
141008MOT0019,2,0,0,3,670,0,0
,,,,,,,
141008MOT0020,2,0,0,3,670,0,0
,,,,,,,
141008MOT0021,2,0,0,3,715,0,0
,,,,,,,
141008MOT0022,2,0,0,3,715,0,0
,,,,,,,
141008MOT0023,2,0,0,3,715,0,0
,,,,,,,
141008MOT0024,2,0,0,3,761,0,0
,,,,,,,
141008MOT0025,2,0,0,3,761,0,0
,,,,,,,
141008MOT0026,2,0,0,3,761,0,0
,,,,,,,
141008MOT0027,2,0,0,3,537,0,0
,,,,,,,
141008MOT0028,2,0,0,3,537,0,0
,,,,,,,
141008MOT0029,2,0,0,3,537,0,0
,,,,,,,
141008MOH0279,2,0,0,3,780,0,0
,,,,,,,
141008MOH0280,2,0,0,3,780,0,0
,,,,,,,
141008MOH0281,2,0,0,3,780,0,0
,,,,,,,
141008MOH0276,2,0,0,3,522,0,0
,,,,,,,
141008MOH0277,2,0,0,3,522,0,0
,,,,,,,
141008MOH0278,2,0,0,3,522,0,0
