Time Scale,FM01TS,FM02TS,FM03TS,FM04TS,FM05TS,PC01TS,PC02TS,PC03TS,PT01TS,PT02TS,PT03TS,PT04TS,PT05TS,PT06TS,ST01TS,TC01TS,TC02TS,TC03TS,TT01TS
08-29-2009 : 12:24:41.681 PM,13.500434,16.416176,47.140972,308.343719,21.555775,11.503341,12.268926,13.368739,4653.708984,5076.666992,3348.423584,2256.479004,1128.489990,266.854980,178.092545,75.529045,76.458000,76.922249,0.000000
08-29-2009 : 12:24:41.685 PM,13.832852,16.874550,48.146397,311.073090,21.566109,11.523472,12.521469,13.549680,4640.771484,5068.685547,3213.722900,3955.122803,3170.201172,3828.532227,176.522400,75.550026,76.391190,76.802155,0.000000
08-29-2009 : 12:24:41.689 PM,13.804563,16.224876,47.841785,309.010559,21.298040,11.364048,12.354756,13.410599,4644.206543,5029.319824,3213.149902,762.378235,545.335876,1751.726807,180.102234,75.547363,76.413391,76.983246,0.000000
08-29-2009 : 12:24:41.693 PM,13.839078,16.366594,47.790852,309.384888,21.472931,11.331624,12.444909,13.547837,4647.781738,5059.463379,3281.995605,2267.494629,1215.141235,4684.002441,177.225784,75.486382,76.393242,76.993492,0.000000
08-29-2009 : 12:24:41.697 PM,14.086090,16.462271,47.330166,309.751251,21.186909,11.370819,12.400586,13.644189,4637.813477,5115.979980,3333.707520,4546.712402,695.982849,3016.966553,178.644165,75.563812,76.466095,76.881424,0.000000
08-29-2009 : 12:24:41.701 PM,14.413230,16.816040,48.504044,307.370209,21.287186,11.626169,12.764461,13.494776,4659.285645,5063.566406,3384.429932,2442.816895,2519.309082,3055.265625,177.569321,75.622650,76.485123,76.994041,0.000000
08-29-2009 : 12:24:41.705 PM,14.009214,16.708630,47.524040,308.924805,21.962698,11.536171,12.759225,13.608044,4652.109863,5114.568359,3449.332520,159.749954,457.353424,3254.754395,181.735046,75.543411,76.337936,76.868484,0.000000
08-29-2009 : 12:24:41.709 PM,14.139798,16.953751,48.485836,313.853027,21.580889,11.636903,12.672466,13.848068,4642.304687,5115.629883,3325.374512,1590.734985,2568.345215,2797.274170,176.617310,75.494156,76.582268,76.895874,0.000000
08-29-2009 : 12:24:41.713 PM,14.051558,16.680853,48.821777,315.097931,21.570707,11.659102,12.521799,13.449595,4692.458008,5111.958496,3387.922119,2544.228760,350.020874,796.525513,177.609161,75.576447,76.503326,76.941360,0.000000
08-29-2009 : 12:24:41.717 PM,13.861402,17.074486,48.957226,314.771790,21.585955,11.706521,12.773204,13.698490,4751.287598,5144.270508,3408.609619,1613.192871,2148.576660,267.338135,182.294495,75.677818,76.569046,76.874222,0.000000
08-29-2009 : 12:24:41.721 PM,14.309439,16.895081,48.853638,314.454132,21.658810,11.824254,12.766572,13.616458,4737.149902,5087.135254,3513.981689,2673.400879,2177.695557,925.291565,182.033691,75.614883,76.432411,77.004677,0.000000
08-29-2009 : 12:24:41.725 PM,14.682650,16.942554,49.396248,311.044098,21.945272,11.841043,12.708140,13.759713,4736.588867,5128.902344,3483.887451,1183.386963,1431.220703,2013.197632,184.036163,75.699310,76.639229,76.986641,0.000000
08-29-2009 : 12:24:41.729 PM,14.537448,17.179482,48.865173,318.652100,21.915987,11.771998,12.720843,13.701488,4725.467285,5149.345215,3447.942383,776.260620,1015.192383,484.717560,180.459885,75.691200,76.653694,77.172340,0.000000
08-29-2009 : 12:24:41.733 PM,14.275931,17.080282,48.754910,320.761414,21.732609,11.728296,12.906742,13.914221,4775.651855,5178.854980,3441.093750,2154.621582,123.244148,3505.772949,182.833969,75.579414,76.502876,76.903770,0.000000
08-29-2009 : 12:24:41.737 PM,14.295523,16.861345,49.081158,319.203247,21.843533,11.930180,12.946088,13.849422,4780.028320,5173.674316,3375.802246,1183.530151,3101.717529,1683.977783,187.552856,75.655106,76.579826,77.150726,0.000000
08-29-2009 : 12:24:41.741 PM,14.511705,17.321981,49.102795,317.984436,22.066885,11.876356,12.881884,13.880483,4769.937012,5132.754395,3556.704102,2006.865845,3793.602783,800.503235,181.253937,75.597862,76.510864,77.088165,0.000000
08-29-2009 : 12:24:41.745 PM,14.614020,17.182693,49.357861,322.361847,22.135761,11.855950,12.808174,13.902911,4781.058105,5211.947754,3491.779297,2354.908447,918.378113,2526.157959,183.607040,75.597031,76.592369,76.954140,0.000000
08-29-2009 : 12:24:41.749 PM,14.795504,17.282097,49.052456,320.328857,22.364969,11.982507,13.010406,13.942952,4790.731445,5212.467773,3415.522949,3095.452148,394.219360,974.554260,183.339447,75.565331,76.498482,77.015366,0.000000
08-29-2009 : 12:24:41.753 PM,14.574244,17.522121,49.495255,318.302521,22.339676,11.794436,13.080338,13.787001,4765.121582,5217.891602,3607.237793,336.031555,976.842896,362.472290,183.682892,75.446114,76.464981,76.893387,0.000000
08-29-2009 : 12:24:41.757 PM,14.778774,17.465496,49.325691,323.954987,22.459457,11.959460,12.885628,14.082884,4784.922852,5193.455078,3666.111572,2102.622314,1576.122314,493.441986,184.848129,75.693169,76.552597,77.164841,0.000000
08-29-2009 : 12:24:41.761 PM,14.646894,17.666115,50.372566,325.489777,22.385775,12.047474,13.144876,14.098489,4804.291504,5191.683594,3605.205322,1053.156006,615.637878,3629.748047,187.352631,75.682724,76.674217,77.108215,0.000000
08-29-2009 : 12:24:41.765 PM,14.674270,17.180901,49.600979,325.493103,22.646862,11.930045,13.038087,14.075056,4759.292480,5251.292480,3525.227783,2209.978271,1488.445435,3527.295898,184.823730,75.372025,76.423401,76.769615,0.000000
08-29-2009 : 12:24:41.769 PM,15.219827,17.284048,49.318508,322.459381,22.819832,11.892874,12.914230,14.111141,4801.076172,5236.812988,3613.242187,3130.647705,1113.384888,4114.336426,184.489334,75.516373,76.526962,77.087364,0.000000
08-29-2009 : 12:24:41.773 PM,14.643388,17.579063,50.202198,326.334503,22.666981,12.002592,13.018078,14.041733,4840.421875,5211.780762,3655.157471,1909.837158,4165.530273,3035.194580,182.610413,75.466858,76.489388,76.969124,0.000000
08-29-2009 : 12:24:41.777 PM,15.070442,17.564322,50.465565,327.235504,22.910963,11.985567,13.002980,14.136308,4841.649902,5243.583984,3638.196289,2157.456299,2487.479736,167.198975,188.033844,75.488083,76.407951,77.082039,0.000000
